   7.0000000e-01   7.0000000e-01   7.0000000e-01   7.0000000e-01
   5.2500000e-01   6.7200000e-01   7.3920000e-01   8.4000000e-01
   6.2343750e-01   7.0533120e-01   6.7859743e-01   5.3760000e-01
   5.8690796e-01   6.6508511e-01   7.6772242e-01   9.9434496e-01
   6.0611752e-01   7.1279010e-01   6.2770297e-01   2.2492242e-02
   5.9684768e-01   6.5510520e-01   8.2259567e-01   8.7945365e-02
   6.0155132e-01   7.2301561e-01   5.1368077e-01   3.2084391e-01
   5.9921833e-01   6.4084493e-01   8.7934118e-01   8.7161238e-01
   6.0038931e-01   7.3652066e-01   3.7347293e-01   4.4761695e-01
   5.9980497e-01   6.2098553e-01   8.2364797e-01   9.8902407e-01
   6.0009742e-01   7.5316001e-01   5.1128700e-01   4.3421853e-02
   5.9995127e-01   5.9491203e-01   8.7955156e-01   1.6614558e-01
   6.0002436e-01   7.7117346e-01   3.7291095e-01   5.5416492e-01
   5.9998782e-01   5.6468786e-01   8.2314627e-01   9.8826465e-01
   6.0000609e-01   7.8660954e-01   5.1242924e-01   4.6390537e-02
   5.9999695e-01   5.3713591e-01   8.7945621e-01   1.7695382e-01
   6.0000152e-01   7.9558696e-01   3.7316571e-01   5.8256466e-01
   5.9999924e-01   5.2041072e-01   8.2337398e-01   9.7273231e-01
   6.0000038e-01   7.9866689e-01   5.1191103e-01   1.0609667e-01
   5.9999981e-01   5.1455389e-01   8.7950061e-01   3.7936067e-01
   6.0000010e-01   7.9932219e-01   3.7304709e-01   9.4178461e-01
   5.9999995e-01   5.1329993e-01   8.2326802e-01   2.1930545e-01
   6.0000002e-01   7.9943396e-01   5.1215221e-01   6.8484228e-01
   5.9999999e-01   5.1308577e-01   8.7948018e-01   8.6333333e-01
   6.0000001e-01   7.9945204e-01   3.7310167e-01   4.7195556e-01
   6.0000000e-01   5.1305112e-01   8.2331679e-01   9.9685404e-01
   6.0000000e-01   7.9945494e-01   5.1204122e-01   1.2544260e-02
   6.0000000e-01   5.1304557e-01   8.7948963e-01   4.9547607e-02
   6.0000000e-01   7.9945540e-01   3.7307642e-01   1.8837057e-01
   6.0000000e-01   5.1304468e-01   8.2329422e-01   6.1154838e-01
   6.0000000e-01   7.9945548e-01   5.1209257e-01   9.5022783e-01
